ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
200959_at	FUS	FUS RNA binding protein	0.42	4.092
200960_x_at	CLTA	clathrin light chain A	-0.426	3.198
200963_x_at	RPL31	ribosomal protein L31	-0.146	2.651
200966_x_at	ALDOA	aldolase, fructose-bisphosphate A	-0.625	6.59
200967_at	PPIB	peptidylprolyl isomerase B	-0.308	3.993
200968_s_at	PPIB	peptidylprolyl isomerase B	-0.58	4.454
200971_s_at	SERP1	stress-associated endoplasmic reticulum protein 1	-0.233	3.659
200973_s_at	TSPAN3	tetraspanin 3	-0.43	2.447
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta	-0.758	2.957
200991_s_at	SNX17	sorting nexin 17	-0.361	3.837
200994_at	IPO7	importin 7	-0.259	2.947
200997_at	RBM14-RBM4///RBM4	RBM14-RBM4 readthrough///RNA binding motif protein 4	-0.333	4.094
200998_s_at	CKAP4	cytoskeleton associated protein 4	0.695	2.269
200999_s_at	CKAP4	cytoskeleton associated protein 4	-0.616	4.146
201001_s_at	TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1	TMEM189-UBE2V1 readthrough///transmembrane protein 189///ubiquitin conjugating enzyme E2 V2///ubiquitin conjugating enzyme E2 V1	0.427	6.123
201003_x_at	TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1	TMEM189-UBE2V1 readthrough///transmembrane protein 189///ubiquitin conjugating enzyme E2 V2///ubiquitin conjugating enzyme E2 V1	-0.459	2.59
201004_at	SSR4	signal sequence receptor subunit 4	-0.384	4.73
201005_at	CD9	CD9 molecule	-1.02	2.584
201011_at	RPN1	ribophorin I	-1.139	10.388
201019_s_at	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	0.498	7.088
201020_at	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	-0.911	4.725
201024_x_at	EIF5B	eukaryotic translation initiation factor 5B	0.585	4.548
201025_at	EIF5B	eukaryotic translation initiation factor 5B	-0.376	3.173
201026_at	EIF5B	eukaryotic translation initiation factor 5B	0.701	4.378
201027_s_at	EIF5B	eukaryotic translation initiation factor 5B	-0.439	4.839
201028_s_at	CD99	CD99 molecule	-0.63	4.764
201029_s_at	CD99	CD99 molecule	-0.255	2.273
201032_at	BLCAP	bladder cancer associated protein	-0.319	4.766
201038_s_at	ANP32A	acidic nuclear phosphoprotein 32 family member A	0.148	2.463
201039_s_at	RAD23A	RAD23 homolog A, nucleotide excision repair protein	0.236	2.373
201041_s_at	DUSP1	dual specificity phosphatase 1	0.773	2.949
201045_s_at	WTH3DI///RAB6A	RAB6C-like///RAB6A, member RAS oncogene family	-0.495	6.126
201048_x_at	WTH3DI///RAB6A	RAB6C-like///RAB6A, member RAS oncogene family	-1.177	6.778
201049_s_at	RPS18	ribosomal protein S18	-0.16	2.548
201056_at	GOLGB1	golgin B1	-0.18	2.458
201057_s_at	GOLGB1	golgin B1	-0.276	2.183
201063_at	RCN1	reticulocalbin 1	-0.353	2.744
201064_s_at	LOC100996696///PABPC4	polyadenylate-binding protein 4 pseudogene///poly(A) binding protein cytoplasmic 4	-0.339	3.168
201071_x_at	SF3B1	splicing factor 3b subunit 1	0.182	2.313
201072_s_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	0.617	3.242
201075_s_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	-0.6	5.353
201076_at	SNU13	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)	-0.237	2.653
201077_s_at	SNU13///ANXA2	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)///annexin A2	-0.201	2.621
201078_at	TM9SF2	transmembrane 9 superfamily member 2	-0.522	5.471
201079_at	SYNGR2	synaptogyrin 2	-0.351	3.294
201083_s_at	BCLAF1	BCL2 associated transcription factor 1	-0.304	2.533
201085_s_at	SON	SON DNA binding protein	0.382	2.325
201089_at	ATP6V1B2	ATPase H+ transporting V1 subunit B2	-0.725	6.188
201092_at	RBBP7	RB binding protein 7, chromatin remodeling factor	0.296	3.259
201096_s_at	ARF4	ADP ribosylation factor 4	-0.557	6.203
201099_at	USP9X	ubiquitin specific peptidase 9, X-linked	-0.219	2.916
201105_at	LGALS1	galectin 1	-0.648	5.879
201111_at	CSE1L	chromosome segregation 1 like	-0.465	3.13
201118_at	PGD	phosphogluconate dehydrogenase	-0.721	4.844
201119_s_at	COX8A	cytochrome c oxidase subunit 8A	-0.813	8.629
201122_x_at	EIF5A	eukaryotic translation initiation factor 5A	-0.77	2.976
201123_s_at	EIF5A	eukaryotic translation initiation factor 5A	-3.302	5.278
201127_s_at	ACLY	ATP citrate lyase	-0.575	4.788
201128_s_at	ACLY	ATP citrate lyase	-0.419	7.37
201132_at	RPL36A-HNRNPH2///HNRNPH2	RPL36A-HNRNPH2 readthrough///heterogeneous nuclear ribonucleoprotein H2 (H')	-0.314	4.865
201137_s_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	-0.643	6.441
201138_s_at	SSB	Sjogren syndrome antigen B	0.505	5.017
201142_at	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	-0.103	2.187
201151_s_at	MBNL1	muscleblind like splicing regulator 1	0.426	4.839
201152_s_at	MBNL1	muscleblind like splicing regulator 1	0.309	4.493
201153_s_at	MBNL1	muscleblind like splicing regulator 1	0.163	3.397
201164_s_at	PUM1	pumilio RNA binding family member 1	0.235	3.196
201169_s_at	BHLHE40	basic helix-loop-helix family member e40	-0.675	2.326
201172_x_at	ATP6V0E1	ATPase H+ transporting V0 subunit e1	-0.258	3.755
201173_x_at	NUDC	nuclear distribution C, dynein complex regulator	-0.199	2.115
201174_s_at	TERF2IP	TERF2 interacting protein	-0.439	5.592
201178_at	FBXO7	F-box protein 7	0.44	2.62
201179_s_at	GNAI3	G protein subunit alpha i3	-0.265	2.651
201182_s_at	CHD4	chromodomain helicase DNA binding protein 4	0.705	5.85
201183_s_at	CHD4	chromodomain helicase DNA binding protein 4	0.542	3.022
201188_s_at	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	0.451	2.521
201189_s_at	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	0.327	2.415
201190_s_at	PITPNA	phosphatidylinositol transfer protein alpha	-0.195	2.093
201191_at	PITPNA	phosphatidylinositol transfer protein alpha	-0.271	2.482
201193_at	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	-0.505	4.46
201199_s_at	PSMD1	proteasome 26S subunit, non-ATPase 1	-0.185	3.108
201201_at	CSTB	cystatin B	-0.398	2.612
201207_at	TNFAIP1	TNF alpha induced protein 1	-0.193	2.542
201211_s_at	DDX3X	DEAD-box helicase 3, X-linked	-1.532	8.801
201218_at	CTBP2	C-terminal binding protein 2	-0.404	2.752
201223_s_at	RAD23B	RAD23 homolog B, nucleotide excision repair protein	0.192	2.465
201226_at	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	-0.435	5.236
201229_s_at	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2	-0.611	4.59
201231_s_at	ENO1	enolase 1	-0.362	5.687
201237_at	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2	-1.059	9.366
201238_s_at	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2	-0.37	3.436
201243_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-0.88	5.633
201244_s_at	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	-0.405	5.365
201245_s_at	LOC101927673///OTUB1	uncharacterized LOC101927673///OTU deubiquitinase, ubiquitin aldehyde binding 1	-0.397	3.634
201260_s_at	SYPL1	synaptophysin like 1	0.322	3.11
201264_at	COPE	coatomer protein complex subunit epsilon	-0.688	4.409
201266_at	TXNRD1	thioredoxin reductase 1	-0.216	2.394
201267_s_at	PSMC3	proteasome 26S subunit, ATPase 3	-0.49	5.294
201273_s_at	SRP9	signal recognition particle 9	0.132	2.639
201274_at	PSMA5	proteasome subunit alpha 5	-0.269	3.18
201276_at	RAB5B	RAB5B, member RAS oncogene family	-0.574	3.237
201277_s_at	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	-0.378	4.98
201291_s_at	TOP2A	topoisomerase (DNA) II alpha	1.005	3.942
201293_x_at	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A	-0.179	3.227
201294_s_at	WSB1	WD repeat and SOCS box containing 1	-0.349	2.328
201295_s_at	WSB1	WD repeat and SOCS box containing 1	-0.719	5.313
201296_s_at	WSB1	WD repeat and SOCS box containing 1	-0.458	7.878
201297_s_at	MOB1A	MOB kinase activator 1A	-0.305	2.306
201298_s_at	MOB1A	MOB kinase activator 1A	-0.346	4.026
201303_at	EIF4A3	eukaryotic translation initiation factor 4A3	-0.244	5.12
201304_at	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	0.316	3.526
201305_x_at	ANP32B	acidic nuclear phosphoprotein 32 family member B	0.333	3.707
201307_at	SEPT11	septin 11	-0.439	2.597
201308_s_at	SEPT11	septin 11	-0.694	4.471
201317_s_at	PSMA2	proteasome subunit alpha 2	0.174	3.124
201319_at	MYL12A	myosin light chain 12A	0.191	2.482
201322_at	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	-0.264	2.578
201323_at	MIR6733///EBNA1BP2	microRNA 6733///EBNA1 binding protein 2	0.204	2.27
201329_s_at	ETS2	ETS proto-oncogene 2, transcription factor	-0.664	5.09
201337_s_at	VAMP3	vesicle associated membrane protein 3	-0.306	2.655
201339_s_at	SCP2	sterol carrier protein 2	-0.219	2.638
201346_at	ADIPOR2	adiponectin receptor 2	-0.248	2.52
201353_s_at	BAZ2A	bromodomain adjacent to zinc finger domain 2A	0.466	3.745
201357_s_at	SF3A1	splicing factor 3a subunit 1	0.606	6.422
201360_at	CST3	cystatin C	-0.592	2.378
201361_at	TMEM109	transmembrane protein 109	-0.226	2.217
201364_s_at	OAZ2	ornithine decarboxylase antizyme 2	-0.732	5.554
201370_s_at	CUL3	cullin 3	-0.34	3.603
201376_s_at	HNRNPF	heterogeneous nuclear ribonucleoprotein F	-0.369	5.016
201377_at	UBAP2L	ubiquitin associated protein 2 like	0.305	2.317
201379_s_at	TPD52L2	tumor protein D52 like 2	-0.473	6.073
201380_at	CRTAP	cartilage associated protein	-0.387	2.762
201383_s_at	NBR1	NBR1, autophagy cargo receptor	-0.221	2.612
201388_at	PSMD3	proteasome 26S subunit, non-ATPase 3	-0.396	4.927
201393_s_at	IGF2R	insulin like growth factor 2 receptor	-0.78	5.538
201394_s_at	RBM5	RNA binding motif protein 5	-0.316	3.466
201398_s_at	TRAM1	translocation associated membrane protein 1	-0.134	2.622
201399_s_at	TRAM1	translocation associated membrane protein 1	-0.693	6.261
201400_at	PSMB3	proteasome subunit beta 3	-0.439	5.28
201403_s_at	MGST3	microsomal glutathione S-transferase 3	-0.566	5.164
201407_s_at	PPP1CB	protein phosphatase 1 catalytic subunit beta	-0.322	2.121
201409_s_at	PPP1CB	protein phosphatase 1 catalytic subunit beta	-0.347	3.067
201410_at	PLEKHB2	pleckstrin homology domain containing B2	-0.204	3.187
201413_at	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	-0.288	3.217
201414_s_at	NAP1L4	nucleosome assembly protein 1 like 4	0.59	6.621
201417_at	SOX4	SRY-box 4	-0.564	3.041
201420_s_at	WDR77	WD repeat domain 77	-0.254	2.957
201422_at	IFI30///PIK3R2	IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2	-0.503	3.784
201423_s_at	CUL4A	cullin 4A	-0.399	4.626
201425_at	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	-0.44	3.252
201426_s_at	VIM	vimentin	-0.277	2.464
201429_s_at	RPL37A	ribosomal protein L37a	-0.118	3.307
201434_at	TTC1	tetratricopeptide repeat domain 1	0.213	3.101
201439_at	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1	0.628	4.333
201440_at	DDX23	DEAD-box helicase 23	0.252	2.985
201443_s_at	ATP6AP2	ATPase H+ transporting accessory protein 2	-0.199	3.171
201444_s_at	ATP6AP2	ATPase H+ transporting accessory protein 2	-0.639	8.453
201461_s_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	-0.541	2.189
201464_x_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	0.936	3.208
201465_s_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	0.535	3.221
201473_at	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	0.548	3.279
201482_at	QSOX1	quiescin sulfhydryl oxidase 1	-0.567	3.204
201485_s_at	RCN2	reticulocalbin 2	0.37	4.846
201486_at	RCN2	reticulocalbin 2	0.251	2.96
201488_x_at	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	0.622	5.181
201490_s_at	PPIF	peptidylprolyl isomerase F	-0.742	5.896
201494_at	PRCP	prolylcarboxypeptidase	-0.302	2.612
201502_s_at	NFKBIA	NFKB inhibitor alpha	0.597	3.9
201503_at	G3BP1	G3BP stress granule assembly factor 1	-0.42	4.163
201504_s_at	TSN	translin	-0.402	4.177
201511_at	AAMP	angio associated migratory cell protein	-0.282	3.875
201512_s_at	TOMM70	translocase of outer mitochondrial membrane 70	-0.287	3.835
201514_s_at	G3BP1	G3BP stress granule assembly factor 1	-1.055	8.195
201515_s_at	TSN	translin	-0.235	3.778
201516_at	SRM	spermidine synthase	-0.263	2.627
201517_at	NCBP2	nuclear cap binding protein subunit 2	0.231	3.09
201518_at	CBX1	chromobox 1	0.195	2.792
201521_s_at	NCBP2	nuclear cap binding protein subunit 2	-0.392	3.882
201523_x_at	UBE2N	ubiquitin conjugating enzyme E2 N	-0.534	5.347
201524_x_at	UBE2N	ubiquitin conjugating enzyme E2 N	-0.311	4.08
201526_at	ARF5	ADP ribosylation factor 5	-0.544	4.79
201527_at	LOC101927180///ATP6V1F	V-type proton ATPase subunit F pseudogene///ATPase H+ transporting V1 subunit F	-0.221	2.68
201528_at	RPA1	replication protein A1	-0.418	3.477
201529_s_at	RPA1	replication protein A1	-0.513	5.781
201533_at	CTNNB1	catenin beta 1	-0.639	4.634
201538_s_at	DUSP3	dual specificity phosphatase 3	-1.458	7.746
201541_s_at	ZNHIT1	zinc finger HIT-type containing 1	-0.26	2.908
201543_s_at	SAR1A	secretion associated Ras related GTPase 1A	-0.532	3.473
201546_at	TRIP12	thyroid hormone receptor interactor 12	-0.256	6.964
201548_s_at	KDM5B	lysine demethylase 5B	-0.482	5.452
201549_x_at	KDM5B	lysine demethylase 5B	-0.31	3.258
201550_x_at	ACTG1///ACTB	actin gamma 1///actin beta	-0.261	5.626
201551_s_at	LAMP1	lysosomal associated membrane protein 1	-1.686	6.151
201552_at	LAMP1	lysosomal associated membrane protein 1	-0.765	8.516
201553_s_at	LAMP1	lysosomal associated membrane protein 1	-0.186	4.216
201557_at	VAMP2	vesicle associated membrane protein 2	0.348	2.568
201559_s_at	CLIC4	chloride intracellular channel 4	-0.759	3.953
201563_at	SORD	sorbitol dehydrogenase	-0.382	3.055
201567_s_at	GOLGA4	golgin A4	-0.23	2.634
201568_at	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	-0.559	6.569
201571_s_at	DCTD	dCMP deaminase	-0.264	3.2
201574_at	ETF1	eukaryotic translation termination factor 1	-0.314	3.707
201575_at	SNW1	SNW domain containing 1	0.192	3.504
201577_at	NME1	NME/NM23 nucleoside diphosphate kinase 1	-0.45	3.472
201585_s_at	SFPQ	splicing factor proline and glutamine rich	-0.788	9.12
201593_s_at	ZC3H15	zinc finger CCCH-type containing 15	0.498	5.416
201594_s_at	PPP4R1	protein phosphatase 4 regulatory subunit 1	-0.299	4.107
201597_at	COX7A2	cytochrome c oxidase subunit 7A2	-0.162	2.113
201600_at	PHB2	prohibitin 2	0.19	2.115
201602_s_at	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	1.018	4.082
201604_s_at	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	-0.57	5.504
201606_s_at	PWP1	PWP1 homolog, endonuclein	0.498	6.44
201618_x_at	GPAA1	glycosylphosphatidylinositol anchor attachment 1	-0.443	4.439
201619_at	PRDX3	peroxiredoxin 3	-0.369	3.549
201623_s_at	DARS	aspartyl-tRNA synthetase	0.438	3.871
201625_s_at	INSIG1	insulin induced gene 1	-0.461	4.126
201627_s_at	INSIG1	insulin induced gene 1	-0.327	2.36
201628_s_at	RRAGA	Ras related GTP binding A	-0.311	4.596
201632_at	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	0.232	3.239
201633_s_at	CYB5B	cytochrome b5 type B	-0.422	3.743
201635_s_at	FXR1	FMR1 autosomal homolog 1	0.245	2.418
201636_at	FXR1	FMR1 autosomal homolog 1	-0.693	5.927
201639_s_at	MIR6849///MIR1234///MIR939///CPSF1	microRNA 6849///microRNA 1234///microRNA 939///cleavage and polyadenylation specific factor 1	0.409	2.394
201642_at	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	-0.428	2.211
201643_x_at	KDM3B	lysine demethylase 3B	-0.737	6.482
201646_at	SCARB2	scavenger receptor class B member 2	-0.611	4.735
201647_s_at	SCARB2	scavenger receptor class B member 2	-0.768	4.213
201666_at	TIMP1	TIMP metallopeptidase inhibitor 1	-0.452	2.654
201671_x_at	USP14	ubiquitin specific peptidase 14	-0.303	2.633
201686_x_at	API5	apoptosis inhibitor 5	-0.578	4.688
201689_s_at	TPD52	tumor protein D52	0.589	3.164
201690_s_at	TPD52	tumor protein D52	0.544	3.867
201693_s_at	EGR1	early growth response 1	1.666	5.162
201698_s_at	GATC///SRSF9	glutamyl-tRNA amidotransferase subunit C///serine and arginine rich splicing factor 9	-0.469	3.515
201702_s_at	PPP1R10	protein phosphatase 1 regulatory subunit 10	0.655	2.161
201703_s_at	PPP1R10	protein phosphatase 1 regulatory subunit 10	-0.592	4.948
201704_at	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	-0.278	2.093
201720_s_at	LAPTM5	lysosomal protein transmembrane 5	-0.549	6.397
201722_s_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	-0.187	2.249
201723_s_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	-0.287	4.047
201726_at	ELAVL1	ELAV like RNA binding protein 1	-0.612	9.544
201727_s_at	ELAVL1	ELAV like RNA binding protein 1	-0.664	7.804
201730_s_at	TPR	translocated promoter region, nuclear basket protein	0.911	3.647
201734_at	CLCN3	chloride voltage-gated channel 3	-0.436	6.116
201737_s_at	MARCH6	membrane associated ring-CH-type finger 6	0.369	4.602
201740_at	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	-0.46	6.764
201742_x_at	SRSF1	serine and arginine rich splicing factor 1	-0.963	7.225
201745_at	TWF1	twinfilin actin binding protein 1	0.243	2.323
201747_s_at	SAFB	scaffold attachment factor B	-1.29	8.799
201748_s_at	SAFB	scaffold attachment factor B	-0.406	6.48
201752_s_at	ADD3	adducin 3	0.348	4.861
201753_s_at	ADD3	adducin 3	0.287	3.492
201754_at	COX6C	cytochrome c oxidase subunit 6C	-0.306	6.067
201756_at	RPA2	replication protein A2	-0.237	2.133
201757_at	RPL10///NDUFS5	ribosomal protein L10///NADH:ubiquinone oxidoreductase subunit S5	-0.21	2.093
201761_at	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	-0.28	2.952
201766_at	ELAC2	elaC ribonuclease Z 2	0.104	2.61
201768_s_at	CLINT1	clathrin interactor 1	-0.429	3.657
201772_at	AZIN1	antizyme inhibitor 1	-0.561	5.273
201773_at	ADNP	activity dependent neuroprotector homeobox	-0.219	4.362
201775_s_at	EFCAB14	EF-hand calcium binding domain 14	-0.64	9.373
201776_s_at	EFCAB14	EF-hand calcium binding domain 14	-0.292	4.426
201777_s_at	EFCAB14	EF-hand calcium binding domain 14	-0.359	4.154
201778_s_at	EFCAB14	EF-hand calcium binding domain 14	-0.265	4.698
201780_s_at	RNF13	ring finger protein 13	-0.295	3.621
201781_s_at	AIP	aryl hydrocarbon receptor interacting protein	-0.301	2.289
201782_s_at	AIP	aryl hydrocarbon receptor interacting protein	-0.26	3.16
201783_s_at	RELA	RELA proto-oncogene, NF-kB subunit	0.397	4.178
201788_at	DDX42	DEAD-box helicase 42	0.182	2.389
201799_s_at	OSBP	oxysterol binding protein	-0.742	10.23
201801_s_at	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	-0.29	2.156
201804_x_at	TBCB	tubulin folding cofactor B	-0.501	5.042
201806_s_at	ATXN2L	ataxin 2 like	0.296	2.428
201810_s_at	SH3BP5	SH3 domain binding protein 5	0.539	3.404
201813_s_at	TBC1D5	TBC1 domain family member 5	0.442	4.474
201815_s_at	TBC1D5	TBC1 domain family member 5	-0.748	7.585
201817_at	UBE3C	ubiquitin protein ligase E3C	-0.422	6.014
201821_s_at	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	-0.325	3.113
201825_s_at	SCCPDH	saccharopine dehydrogenase (putative)	0.391	3.019
201828_x_at	FAM127A	family with sequence similarity 127 member A	-0.418	4.32
201832_s_at	USO1	USO1 vesicle transport factor	-0.169	2.482
201837_s_at	SUPT7L	SPT7-like STAGA complex gamma subunit	0.313	4.199
201840_at	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	-0.263	3.61
201841_s_at	HSPB1	heat shock protein family B (small) member 1	-0.709	4.646
201846_s_at	RYBP	RING1 and YY1 binding protein	0.375	2.341
201849_at	BNIP3	BCL2 interacting protein 3	0.369	2.508
201850_at	CAPG	capping actin protein, gelsolin like	-0.336	2.642
201856_s_at	ZFR	zinc finger RNA binding protein	-0.81	6.34
201857_at	ZFR	zinc finger RNA binding protein	-0.138	2.872
201861_s_at	LRRFIP1	LRR binding FLII interacting protein 1	0.417	2.237
201863_at	FAM32A	family with sequence similarity 32 member A	-0.251	3.691
201864_at	GDI1	GDP dissociation inhibitor 1	0.203	2.895
201866_s_at	NR3C1	nuclear receptor subfamily 3 group C member 1	-0.344	4.672
201867_s_at	TBL1X	transducin (beta)-like 1X-linked	1.912	4.5
201871_s_at	UBXN1	UBX domain protein 1	-0.417	4.85
201872_s_at	ABCE1	ATP binding cassette subfamily E member 1	-0.183	2.882
201874_at	MPZL1	myelin protein zero like 1	-0.593	3.357
201875_s_at	MPZL1	myelin protein zero like 1	-0.235	2.536
201879_at	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	0.203	2.129
201885_s_at	CYB5R3	cytochrome b5 reductase 3	-0.305	2.113
201888_s_at	IL13RA1	interleukin 13 receptor subunit alpha 1	-0.696	3.951
201889_at	FAM3C	family with sequence similarity 3 member C	0.332	2.448
201891_s_at	B2M	beta-2-microglobulin	0.123	2.284
201894_s_at	SSR1	signal sequence receptor subunit 1	-0.517	4.24
201895_at	ARAF	A-Raf proto-oncogene, serine/threonine kinase	-0.296	2.805
201898_s_at	UBE2A	ubiquitin conjugating enzyme E2 A	-0.497	6.443
201900_s_at	AKR1A1	aldo-keto reductase family 1 member A1	-0.226	2.473
201901_s_at	YY1	YY1 transcription factor	0.407	3.046
201903_at	UQCRC1	ubiquinol-cytochrome c reductase core protein I	-0.679	5.652
201915_at	SEC63	SEC63 homolog, protein translocation regulator	-0.269	3.006
201917_s_at	SLC25A36	solute carrier family 25 member 36	0.388	2.534
201920_at	SLC20A1	solute carrier family 20 member 1	-0.436	4.049
201929_s_at	PKP4	plakophilin 4	-0.652	4.267
201931_at	ETFA	electron transfer flavoprotein alpha subunit	-0.183	2.298
201932_at	LRRC41	leucine rich repeat containing 41	-0.215	2.303
201933_at	CHMP1A	charged multivesicular body protein 1A	-0.226	2.409
201935_s_at	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	-0.313	2.582
201937_s_at	DNPEP	aspartyl aminopeptidase	-0.358	2.797
201940_at	CPD	carboxypeptidase D	-0.625	4.42
201941_at	CPD	carboxypeptidase D	-0.403	2.867
201942_s_at	CPD	carboxypeptidase D	-0.699	4.105
201943_s_at	CPD	carboxypeptidase D	-0.817	7.322
201944_at	HEXB	hexosaminidase subunit beta	-0.294	2.954
201953_at	CIB1	calcium and integrin binding 1	-0.188	2.308
201956_s_at	GNPAT	glyceronephosphate O-acyltransferase	-0.154	2.249
201959_s_at	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	0.331	3.27
201960_s_at	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	0.313	2.556
201961_s_at	RNF41	ring finger protein 41	-0.331	3.777
201962_s_at	RNF41	ring finger protein 41	-0.481	7.232
201964_at	SETX	senataxin	-0.515	9.114
201966_at	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	-0.373	6.772
201971_s_at	ATP6V1A	ATPase H+ transporting V1 subunit A	-0.737	6.015
201972_at	ATP6V1A	ATPase H+ transporting V1 subunit A	-0.303	2.9
201977_s_at	KIAA0141	KIAA0141	0.373	2.79
201986_at	MED13	mediator complex subunit 13	-0.551	4.465
201988_s_at	CREBL2	cAMP responsive element binding protein like 2	-0.589	4.786
201991_s_at	KIF5B	kinesin family member 5B	0.486	7.885
201993_x_at	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	0.272	2.901
201996_s_at	SPEN	spen family transcriptional repressor	1.471	4.092
202003_s_at	ACAA2	acetyl-CoA acyltransferase 2	-0.315	2.949
202012_s_at	EXT2	exostosin glycosyltransferase 2	-0.522	4.93
202018_s_at	LTF	lactotransferrin	3.942	10.097
202021_x_at	EIF1	eukaryotic translation initiation factor 1	0.236	3.372
202029_x_at	RPL38	ribosomal protein L38	-0.184	2.997
202038_at	UBE4A	ubiquitination factor E4A	-0.179	2.181
202039_at	MYO18A///TIAF1	myosin XVIIIA///TGFB1-induced anti-apoptotic factor 1	-0.375	2.34
202041_s_at	FIBP	FGF1 intracellular binding protein	-0.265	2.382
202043_s_at	SMS	spermine synthase	-0.691	5.756
202046_s_at	ARHGAP35	Rho GTPase activating protein 35	0.38	2.176
202049_s_at	ZMYM4	zinc finger MYM-type containing 4	-0.472	6.792
202050_s_at	ZMYM4	zinc finger MYM-type containing 4	-0.35	4.363
202051_s_at	ZMYM4	zinc finger MYM-type containing 4	-0.254	4.604
202055_at	KPNA1	karyopherin subunit alpha 1	-0.362	7.314
202056_at	KPNA1	karyopherin subunit alpha 1	-0.703	8.068
202057_at	KPNA1	karyopherin subunit alpha 1	-0.41	2.833
202058_s_at	KPNA1	karyopherin subunit alpha 1	-0.82	6.469
202061_s_at	SEL1L	SEL1L ERAD E3 ligase adaptor subunit	-0.337	6.266
202062_s_at	SEL1L	SEL1L ERAD E3 ligase adaptor subunit	-0.725	5.73
202064_s_at	SEL1L	SEL1L ERAD E3 ligase adaptor subunit	-0.565	3.149
202066_at	PPFIA1	PTPRF interacting protein alpha 1	-0.237	2.738
202068_s_at	LDLR	low density lipoprotein receptor	-0.442	2.274
202069_s_at	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha	-0.6	7.913
202070_s_at	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha	-1.139	8.952
202072_at	HNRNPL	heterogeneous nuclear ribonucleoprotein L	-0.684	3.772
202075_s_at	PLTP	phospholipid transfer protein	0.17	2.268
202078_at	COPS3	COP9 signalosome subunit 3	0.152	2.208
202082_s_at	SEC14L1	SEC14 like lipid binding 1	0.636	2.368
202088_at	SLC39A6	solute carrier family 39 member 6	-0.218	2.437
202089_s_at	SLC39A6	solute carrier family 39 member 6	-0.234	2.37
